Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA
Aatrox,Fighter,TOP,S,72.19,-5.85,0.4943,0.9234,0.0701,0.0424,1.89
Ahri,Mage,MID,God,89.47,-5.98,0.5154,0.9289,0.125,0.1382,2.49
Akali,Assassin,MID,S,68,-1.6,0.4885,0.6187,0.0792,0.1892,2.3
Akali,Assassin,TOP,S,59.59,3.36,0.4824,0.3735,0.0453,0.1892,2.01
Akshan,Marksman,MID,A,53.74,0.8,0.5151,0.5639,0.0347,0.1397,2.22
Akshan,Marksman,TOP,B,44.34,-5.41,0.5051,0.3388,0.0197,0.1397,1.93
Alistar,Tank,SUPPORT,B,45.7,1.8,0.5064,0.9681,0.0356,0.008,2.5
Amumu,Tank,JUNGLE,B,44.12,-0.12,0.4976,0.8403,0.0274,0.0133,2.5
Amumu,Tank,SUPPORT,C,33.72,-3.31,0.52,0.1325,0.0032,0.0143,2.04
Anivia,Mage,MID,A,52,-1.61,0.5207,0.7774,0.0263,0.0282,2.53
Anivia,Mage,SUPPORT,D,25.32,-8.08,0.4777,0.144,0.0039,0.0282,2.12
Annie,Mage,MID,B,44.97,-4.05,0.5054,0.8169,0.0185,0.0071,2.24
Aphelios,Marksman,ADC,C,37.73,-7.63,0.4657,0.9721,0.077,0.017,1.95
Ashe,Marksman,ADC,A,46.95,1.39,0.5085,0.8443,0.0642,0.0095,2.36
Ashe,Marksman,SUPPORT,D,26.83,0,0.4723,0.122,0.0084,0.0095,2.32
Aurelion Sol,Mage,MID,B,44.2,-6.31,0.5087,0.8731,0.0104,0.0036,2.49
Azir,Mage,MID,D,33.12,-0.38,0.4561,0.8703,0.0139,0.0027,1.96
Bard,Support,SUPPORT,B,42.07,-4.25,0.4975,0.9636,0.0267,0.0049,2.88
Blitzcrank,Tank,SUPPORT,S,72.51,13.09,0.5048,0.9801,0.0841,0.2073,2.41
Brand,Mage,SUPPORT,B,42.16,-4.08,0.4927,0.7123,0.04,0.0571,1.78
